cohort,cust_id,org_id
1,13732,13463
1,13729,13460
1,13728,13459
1,13699,13431
1,13673,13408
1,13671,13406
1,13670,13405
1,13665,13400
1,13649,13384
1,13605,13340
1,13602,13337
1,13595,13331
1,13593,13329
1,13585,13321
1,13580,13316
1,13577,13313
1,13564,13300
1,13557,13293
1,13545,13281
1,13544,13280
1,13540,13276
1,13531,13268
1,13525,13262
1,13519,13256
1,13516,13253
1,13509,13246
1,13502,13239
1,13499,13236
1,13493,13231
1,13463,13201
1,13462,13200
1,13459,13197
1,13436,13174
1,13432,13170
1,13422,13160
1,13407,13147
1,13401,13141
1,13397,13137
1,13395,13135
1,13394,13134
1,13376,13116
1,13356,13096
1,13353,13093
1,13338,13078
1,13316,13056
1,13309,13049
1,13305,13045
1,13294,13034
1,13275,13015
1,13270,13010
1,13255,12995
1,13227,12967
1,13224,12964
1,13218,12958
1,13196,12936
1,13189,12928
1,13187,12926
1,13173,12912
1,13170,12909
1,13164,12903
1,13163,12902
1,13154,12894
1,13137,12877
1,13136,12876
1,13102,12842
1,13085,12828
1,13083,12826
1,13047,12792
1,13046,12791
1,13045,12790
1,13041,12786
1,13020,12765
1,13018,12763
1,12990,12737
1,12988,12735
1,12977,12726
1,12973,12722
1,12962,12711
1,12946,12695
1,12927,12676
1,12918,12667
1,12906,12655
1,12899,12648
1,12892,12641
1,12891,12640
1,12889,12638
1,12887,12636
1,12884,12633
1,12865,12614
1,12849,12598
1,12845,12595
1,12843,12593
1,12824,12576
1,12823,12575
1,12820,12572
1,12812,12564
1,12790,12542
1,12781,12533
1,12779,12531
1,12770,12522
1,12763,12515
1,12733,12485
1,12704,12456
1,12685,12438
1,12684,12437
1,12680,12433
1,12670,12423
1,12653,12406
1,12648,12401
1,12628,12382
1,12617,12371
1,12613,12367
1,12612,12366
1,12596,12350
1,12593,12347
1,12581,12335
1,12544,12301
1,12536,12293
1,12534,12291
1,12519,12277
1,12504,12262
1,12477,12235
1,12473,12231
1,12471,12229
1,12461,12219
1,12448,12206
1,12437,12195
1,12434,12192
1,12427,12185
1,12422,12180
1,12401,12159
1,12378,12136
1,12349,12108
1,12347,12106
1,12343,12102
1,12335,12094
1,12300,12061
1,12295,12056
1,12294,12055
1,12293,12054
1,12272,12034
1,12266,12028
1,12261,12023
1,12257,12019
1,12254,12016
1,12245,12007
1,12242,12004
1,12235,11997
1,12229,11991
1,12200,11962
1,12173,11936
1,12165,11928
1,12161,11924
1,12151,11914
1,12137,11900
1,12130,11893
1,12123,11886
1,12117,11881
1,12108,11872
1,12103,11867
1,12060,11826
1,12055,11821
1,12052,11818
1,12050,11816
1,12040,11806
1,12037,11803
1,12032,11798
1,12019,11785
1,12008,11774
1,12000,11766
1,11986,11752
1,11980,11746
1,11977,11743
1,11975,11741
1,11973,11739
1,11970,11736
1,11966,11732
1,11961,11727
1,11956,11722
1,11945,11711
1,11942,11708
1,11940,11706
1,11936,11702
1,11926,11692
1,11920,11686
1,11866,11633
1,11842,11611
1,11838,11607
1,11832,11601
1,11825,11594
