id,cust_id,type,description,timestamp
45797,1226,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369958400
52942,1226,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369958400
45796,1227,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369958400
52941,1227,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369958400
45795,1228,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369958400
52940,1228,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1369958400
45546,1229,Sign up for an account,"{""plan"":""Lite"",""imported"":true}",1379548800
52691,1229,Sign up for an account,"{""plan"":""Lite"",""imported"":true}",1379548800
45794,1232,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370217600
52939,1232,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370217600
45793,1234,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370217600
52938,1234,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370217600
45792,1235,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370304000
52937,1235,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370304000
45791,1238,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370390400
52936,1238,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370390400
45790,1239,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370390400
52935,1239,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370390400
45789,1240,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370476800
52934,1240,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370476800
45788,1241,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370476800
52933,1241,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370476800
45787,1242,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370476800
52932,1242,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370476800
45786,1243,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370563200
52931,1243,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370563200
45644,1246,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1373414400
52789,1246,Upgraded plan,"{""from_plan"":""Free-no-credit-card"",""to_plan"":""Lite"",""imported"":true}",1373414400
45785,1248,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
52930,1248,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
45784,1249,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
52929,1249,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
45783,1250,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
52928,1250,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
45782,1251,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
52927,1251,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
45781,1252,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
52926,1252,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370822400
45780,1253,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
52925,1253,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
45779,1254,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
52924,1254,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
45778,1256,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
52923,1256,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
45777,1257,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
52922,1257,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
45776,1258,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
52921,1258,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370908800
45775,1259,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
52920,1259,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
45774,1260,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
52919,1260,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
45773,1261,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
52918,1261,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
45772,1262,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
52917,1262,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
45771,1264,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
52916,1264,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
45770,1265,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
52915,1265,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
45769,1266,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
52914,1266,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1370995200
45768,1267,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
52913,1267,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
45767,1268,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
52912,1268,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
45766,1269,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
52911,1269,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
45765,1270,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
52910,1270,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
45764,1271,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
52909,1271,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371081600
45763,1272,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52908,1272,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45762,1273,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52907,1273,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45761,1274,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52906,1274,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45760,1275,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52905,1275,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45759,1276,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52904,1276,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45758,1277,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52903,1277,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45757,1279,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52902,1279,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45756,1280,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52901,1280,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45755,1281,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52900,1281,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45754,1284,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52899,1284,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45753,1287,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52898,1287,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45752,1288,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
52897,1288,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371168000
45751,1289,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
52896,1289,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
45750,1290,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
52895,1290,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
45749,1291,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
52894,1291,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
45748,1292,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
52893,1292,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
45747,1293,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
52892,1293,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
45746,1294,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
52891,1294,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371254400
45745,1295,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
52890,1295,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
45744,1296,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
52889,1296,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
45743,1297,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
52888,1297,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
45742,1298,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
52887,1298,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
45741,1299,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
52886,1299,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371340800
45740,1300,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52885,1300,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45739,1301,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52884,1301,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45738,1302,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52883,1302,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45737,1303,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52882,1303,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45736,1304,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52881,1304,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45735,1306,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52880,1306,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45734,1307,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52879,1307,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45733,1308,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52878,1308,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45732,1309,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
52877,1309,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371427200
45731,1310,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52876,1310,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45730,1311,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52875,1311,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45729,1312,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52874,1312,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45728,1313,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52873,1313,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45727,1314,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52872,1314,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45726,1316,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52871,1316,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45725,1317,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52870,1317,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45724,1319,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52869,1319,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45723,1320,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
52868,1320,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371513600
45722,1321,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52867,1321,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45721,1324,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52866,1324,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45720,1325,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52865,1325,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45719,1326,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52864,1326,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45718,1327,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52863,1327,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45717,1328,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52862,1328,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45716,1329,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52861,1329,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45715,1330,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
52860,1330,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371600000
45714,1332,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371686400
52859,1332,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371686400
45713,1333,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371686400
52858,1333,Sign up for an account,"{""plan"":""Free-with-credit-card"",""imported"":true}",1371686400
